INSTNM,CITY,STABBR,ZIP,CONTROL,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG_ALL,COSTT4_A,RET_FT4,DEBT_MDN,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,AccredAgency
Alabama A & M University,Normal,AL,35762,1,34.7834,-86.5685,0.8989,823,18888,0.6314,19500,4051,0.0279,0.9501,0.0089,0.0022,0.0012,0.001,Southern Association of Colleges and Schools Commission on Colleges
University of Alabama at Birmingham,Birmingham,AL,35294-0110,1,33.5022,-86.8092,0.8673,1146,19990,0.8016,16250,11200,0.5987,0.259,0.0258,0.0518,0.0026,0.0007,Southern Association of Colleges and Schools Commission on Colleges
Amridge University,Montgomery,AL,36117-3553,2,32.3626,-86.174,NULL,NULL,12300,0.375,10500,322,0.2919,0.4224,0.0093,0.0031,0.0031,0.0031,Southern Association of Colleges and Schools Commission on Colleges
University of Alabama in Huntsville,Huntsville,AL,35899,1,34.7228,-86.6384,0.8062,1180,20306,0.8098,16500,5525,0.7012,0.131,0.0338,0.0364,0.0145,0.0002,Southern Association of Colleges and Schools Commission on Colleges
Alabama State University,Montgomery,AL,36104-0271,1,32.3643,-86.2957,0.5125,830,17400,0.6219,15854.5,5354,0.0161,0.9285,0.0114,0.0015,0.0009,0.0007,Southern Association of Colleges and Schools Commission on Colleges
The University of Alabama,Tuscaloosa,AL,35487-0166,1,33.2144,-87.5458,0.5655,1171,26717,0.87,17750,28692,0.7865,0.114,0.0313,0.0112,0.0044,0.0011,Southern Association of Colleges and Schools Commission on Colleges
Central Alabama Community College,Alexander City,AL,35010,1,32.9244,-85.9465,NULL,NULL,12103,NULL,7554,1779,0.6785,0.2945,0.0118,0.0022,0.0022,0.0011,Southern Association of Colleges and Schools Commission on Colleges
Athens State University,Athens,AL,35611,1,34.8056,-86.9651,NULL,NULL,NULL,NULL,14000,2999,0.7513,0.1064,0.0213,0.0047,0.019,0.0007,Southern Association of Colleges and Schools Commission on Colleges
Auburn University at Montgomery,Montgomery,AL,36117-3596,1,32.3699,-86.1774,0.8371,970,16556,0.6321,10750,4322,0.5532,0.3031,0.0079,0.0245,0.0037,0,Southern Association of Colleges and Schools Commission on Colleges
Auburn University,Auburn University,AL,36849,1,32.6002,-85.4924,0.8274,1215,23788,0.8946,18250,19761,0.8543,0.0714,0.0253,0.0213,0.0077,0,Southern Association of Colleges and Schools Commission on Colleges
Birmingham Southern College,Birmingham,AL,35254,2,33.5155,-86.8536,0.6422,1177,44512,0.8037,21500,1181,0.8103,0.094,0.0305,0.039,0.0102,0,Southern Association of Colleges and Schools Commission on Colleges
Chattahoochee Valley Community College,Phenix City,AL,36869,1,32.4239,-85.0315,NULL,NULL,6800,NULL,4569,1769,0.4675,0.4409,0.0379,0.0136,0.0034,0.0028,Southern Association of Colleges and Schools Commission on Colleges
Concordia College Alabama,Selma,AL,36701,2,32.4223,-87.0242,NULL,NULL,17655,0.4103,8050,523,0.0115,0.9388,0.0134,0.0038,0,0,Southern Association of Colleges and Schools Commission on Colleges
South University-Montgomery,Montgomery,AL,36116,3,32.3427,-86.2165,0.4366,NULL,28525,0.1935,9500,599,0.2988,0.6628,0.0117,0.0033,0.0083,0.0033,NULL
Enterprise State Community College,Enterprise,AL,36330-1300,1,31.2975,-85.837,NULL,NULL,10193,NULL,6000,1984,0.6411,0.2661,0.0444,0.0166,0.0055,0.0015,Southern Association of Colleges and Schools Commission on Colleges
James H Faulkner State Community College,Bay Minette,AL,36507-2698,1,30.852,-87.7798,NULL,NULL,11921,NULL,5500,4182,0.7104,0.2176,0.0263,0.0072,0.0187,0.0012,Southern Association of Colleges and Schools Commission on Colleges
Faulkner University,Montgomery,AL,36109-3378,2,32.3842,-86.2164,NULL,NULL,28485,0.5,18750,2358,0.3919,0.5254,0.0178,0.0047,0.0064,0.0034,Southern Association of Colleges and Schools Commission on Colleges
Gadsden State Community College,Gadsden,AL,35903,1,33.9919,-85.9913,NULL,NULL,10247,NULL,333,5480,0.6792,0.21,0.0261,0.0055,0.0075,0.0015,Southern Association of Colleges and Schools Commission on Colleges
New Beginning College of Cosmetology,Albertville,AL,35951,3,34.2593,-86.2,NULL,NULL,NULL,NULL,7901,89,0.9326,0.0337,0.0337,0,0,0,National Accrediting Commission of Career Arts and Sciences
George C Wallace State Community College-Dothan,Dothan,AL,36303-9234,1,31.3161,-85.4636,NULL,NULL,8140,NULL,PrivacySuppressed,4293,0.6306,0.3196,0.024,0.0058,0.0051,0.0019,Southern Association of Colleges and Schools Commission on Colleges
George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,1,34.0734,-86.7817,NULL,NULL,10822,NULL,8250,4904,0.875,0.0593,0.0273,0.0043,0.0075,0.0002,Southern Association of Colleges and Schools Commission on Colleges
George C Wallace State Community College-Selma,Selma,AL,36703-2808,1,32.4456,-87.0132,NULL,NULL,14835,NULL,PrivacySuppressed,1604,0.2163,0.7594,0.0062,0.0069,0.0037,0.0019,Southern Association of Colleges and Schools Commission on Colleges
Herzing University-Birmingham,Birmingham,AL,35209,3,33.4681,-86.8323,0.7234,NULL,26656,0.5,12000,318,0.3491,0.5881,0.0063,0.0094,0,0,NULL
Huntingdon College,Montgomery,AL,36106-2148,2,32.3509,-86.2853,0.6279,999,31433,0.6196,16850,1100,0.5845,0.1918,0.02,0.0091,0.0064,0.0018,Southern Association of Colleges and Schools Commission on Colleges
Heritage Christian University,Florence,AL,35630-9977,2,34.8591,-87.6621,NULL,NULL,21160,1,PrivacySuppressed,67,0.7313,0.1194,0.0448,0,0,0.0149,Association for Biblical Higher Education Commission on Accreditation
J F Drake State Community and Technical College,Huntsville,AL,35811,1,34.7721,-86.5738,NULL,NULL,12217,NULL,PrivacySuppressed,1040,0.3096,0.6231,0.025,0.0048,0.0067,0.0029,Southern Association of Colleges and Schools Commission on Colleges
Jacksonville State University,Jacksonville,AL,36265,1,33.8221,-85.7666,0.8326,1036,19202,0.7112,16500,7195,0.6655,0.2628,0.0133,0.0053,0.0058,0.0006,Southern Association of Colleges and Schools Commission on Colleges
